id,checkin,cdate,site_id,user_uuid
2126667,2,2023-12-04 18:56:44.428983,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2129183,2,2023-12-05 21:02:27.621351,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126634,2,2023-12-04 16:21:34.278855,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2129301,2,2023-12-05 23:24:52.099460,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126668,1,2023-12-04 19:01:40.701065,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126193,2,2023-12-04 10:19:33.173387,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126712,2,2023-12-04 21:52:34.434245,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2129149,1,2023-12-05 16:57:26.924726,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2129189,1,2023-12-05 21:18:36.778519,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2126678,2,2023-12-04 20:05:28.725877,49,2c6a113a-c5dc-451d-b9fe-5529358a72d3
2137663,2,2023-12-08 23:04:59.285094,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2137614,1,2023-12-08 21:23:36.643321,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2137613,2,2023-12-08 21:21:02.405700,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2137634,1,2023-12-08 22:21:01.402828,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2137587,1,2023-12-08 18:22:35.159404,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2137630,2,2023-12-08 22:11:23.064734,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2134551,1,2023-12-07 19:01:25.015558,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2137605,1,2023-12-08 20:57:00.549774,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2137600,2,2023-12-08 20:49:39.962256,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2134633,2,2023-12-07 22:39:30.764940,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
2134552,1,2023-12-07 19:01:25.697607,49,3e49a78b-9d54-4a8e-8d2e-0c9908a72090
1761310,2,2023-07-25 17:29:02.506658,49,fea5ff57-9427-4f4b-861b-5a13e27c2a5b
1761313,2,2023-07-25 18:10:31.723271,49,fea5ff57-9427-4f4b-861b-5a13e27c2a5b
1761312,1,2023-07-25 17:32:36.930830,49,fea5ff57-9427-4f4b-861b-5a13e27c2a5b
1761303,1,2023-07-25 16:31:06.938567,49,fea5ff57-9427-4f4b-861b-5a13e27c2a5b
1622090,2,2023-05-31 14:28:57.163446,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1616123,2,2023-05-30 01:28:51.452691,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1621811,2,2023-05-31 12:30:15.152437,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1621822,1,2023-05-31 12:41:29.895752,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
1621326,1,2023-05-31 09:59:27.071425,49,67c430a3-5cc2-4b6f-81bc-0a3aae2de16a
